Metabolite,Status,Reactions_Found
CHEBI:45744,Unmapped,0
CHEBI:17802,Mapped,2
CHEBI:89860,Unmapped,0
CHEBI:15781,Mapped,6
CHEBI:18123,Mapped,3
CHEBI:75034,Mapped,7
CHEBI:17066,Unmapped,0
CHEBI:76308,Unmapped,0
CHEBI:64032,Mapped,1
CHEBI:16467,Unmapped,0
CHEBI:18332,Unmapped,0
CHEBI:78266,Mapped,1
CHEBI:16675,Unmapped,0
CHEBI:73100,Unmapped,0
CHEBI:89483,Unmapped,0
CHEBI:40836,Unmapped,0
CHEBI:16737,Mapped,4
CHEBI:87986,Unmapped,0
CHEBI:545687,Unmapped,0
CHEBI:28717,Mapped,1
CHEBI:166485,Unmapped,0
CHEBI:2323,Unmapped,0
CHEBI:37100,Unmapped,0
CHEBI:133747,Unmapped,0
CHEBI:83058,Unmapped,0
CHEBI:28727,Unmapped,0
CHEBI:34071,Mapped,3
CHEBI:166730,Unmapped,0
CHEBI:41254,Unmapped,0
CHEBI:76276,Mapped,3
CHEBI:17336,Mapped,23
CHEBI:31697,Mapped,2
CHEBI:40521,Unmapped,0
CHEBI:89901,Unmapped,0
CHEBI:37049,Unmapped,0
CHEBI:19232,Unmapped,0
CHEBI:1127735,Unmapped,0
CHEBI:27732,Mapped,6
CHEBI:545959,Unmapped,0
CHEBI:72998,Mapped,77
CHEBI:17604,Unmapped,0
CHEBI:18102,Mapped,2
CHEBI:75450,Mapped,1
CHEBI:89963,Unmapped,0
CHEBI:165601,Unmapped,0
CHEBI:84814,Unmapped,0
CHEBI:23774,Unmapped,0
CHEBI:28116,Unmapped,0
CHEBI:16113,Mapped,65
CHEBI:15354,Mapped,56
CHEBI:17261,Unmapped,0
CHEBI:7274,Unmapped,0
CHEBI:74344,Mapped,6
CHEBI:86260,Unmapped,0
CHEBI:17754,Mapped,76
CHEBI:68433,Unmapped,0
CHEBI:30813,Unmapped,0
CHEBI:40356,Mapped,5
CHEBI:72959,Mapped,9
CHEBI:78261,Mapped,2
CHEBI:73722,Unmapped,0
CHEBI:73212,Unmapped,0
CHEBI:15428,Unmapped,0
CHEBI:30805,Unmapped,0
CHEBI:37946,Unmapped,0
CHEBI:68465,Unmapped,0
CHEBI:133693,Unmapped,0
CHEBI:74965,Mapped,9
CHEBI:16919,Unmapped,0
CHEBI:73003,Mapped,9
CHEBI:16344,Unmapped,0
CHEBI:16393,Unmapped,0
CHEBI:133181,Unmapped,0
CHEBI:17196,Unmapped,0
CHEBI:166739,Unmapped,0
CHEBI:17482,Unmapped,0
CHEBI:4676,Unmapped,0
CHEBI:73118,Unmapped,0
CHEBI:17645,Unmapped,0
CHEBI:133096,Unmapped,0
CHEBI:176485,Unmapped,0
CHEBI:62207,Unmapped,0
CHEBI:21949,Mapped,4
CHEBI:74532,Unmapped,0
CHEBI:67033,Mapped,2
CHEBI:17752,Unmapped,0
CHEBI:28664,Unmapped,0
CHEBI:68447,Unmapped,0
CHEBI:30745,Unmapped,0
CHEBI:172425,Unmapped,0
CHEBI:18183,Unmapped,0
CHEBI:87998,Unmapped,0
CHEBI:43580,Unmapped,0
CHEBI:48991,Mapped,8
