disease_name,ratio_name,numerator_name,numerator_tissues,denominator_name,denominator_tissues
VLDL particle size,lignoceroyl sphingomyelin (d18:1/24:0) to 1-stearoyl-2-linoleoyl-gpc (18:0/18:2)*,lignoceroyl sphingomyelin (d18:1/24:0),Blood | Cerebrospinal Fluid (CSF) | Saliva | Urine | All Tissues,1-stearoyl-2-linoleoyl-gpc (18:0/18:2)*,Blood | Feces | Placenta | Saliva | Urine | All Tissues
VLDL particle size,linoleate (18:2n6) to dihomo-linolenate (20:3n3 or n6),linoleate (18:2n6),,dihomo-linolenate (20:3n3 or n6),Adipose Tissue | Blood | Feces | Placenta | Saliva | Epidermis
VLDL particle size,oleate/vaccenate (18:1) to dihomo-linolenate (20:3n3 or n6),oleate/vaccenate (18:1),,dihomo-linolenate (20:3n3 or n6),Adipose Tissue | Blood | Feces | Placenta | Saliva | Epidermis
abnormality of the skeletal system,"5alpha-androstan-3beta,17alpha-diol disulfate to epiandrosterone sulfate","5alpha-androstan-3beta,17alpha-diol disulfate",Feces,epiandrosterone sulfate,Blood | Feces
abnormality of the skeletal system,"5alpha-androstan-3beta,17alpha-diol disulfate to epiandrosterone sulfate","5alpha-androstan-3alpha,17beta-diol disulfate",Feces,epiandrosterone sulfate,Blood | Feces
abnormality of the skeletal system,"5alpha-pregnan-3beta,20alpha-diol disulfate to 5alpha-androstan-3alpha,17alpha-diol monosulfate","5alpha-pregnan-3beta,20alpha-diol disulfate",Feces | Placenta,"5alpha-androstan-3alpha,17alpha-diol monosulfate",
abnormality of the skeletal system,"5alpha-pregnan-3beta,20alpha-diol disulfate to 5alpha-androstan-3beta,17alpha-diol disulfate","5alpha-pregnan-3beta,20alpha-diol disulfate",Feces | Placenta,"5alpha-androstan-3beta,17alpha-diol disulfate",Feces
abnormality of the skeletal system,"5alpha-pregnan-3beta,20alpha-diol disulfate to 5alpha-androstan-3beta,17alpha-diol disulfate","5alpha-pregnan-3beta,20alpha-diol disulfate",Feces | Placenta,"5alpha-androstan-3alpha,17beta-diol disulfate",Feces
alcohol consumption quality,oleoyl-linoleoyl-glycerol (18:1/18:2) [2] to gamma-glutamylthreonine,oleoyl-linoleoyl-glycerol (18:1/18:2) [2],Blood | Feces | Placenta | All Tissues,gamma-glutamylthreonine,Blood
alcohol drinking,oleoyl-linoleoyl-glycerol (18:1/18:2) [2] to gamma-glutamylthreonine,oleoyl-linoleoyl-glycerol (18:1/18:2) [2],Blood | Feces | Placenta | All Tissues,gamma-glutamylthreonine,Blood
aortic stenosis,"stearoyl sphingomyelin (d18:1/18:0) to sphingomyelin (d18:0/18:0, d19:0/17:0)*",stearoyl sphingomyelin (d18:1/18:0),Blood | Breast Milk | Cerebrospinal Fluid (CSF) | Feces | Liver | Placenta | Saliva | Spleen | Urine | Brain | Erythrocyte,"sphingomyelin (d18:0/18:0, d19:0/17:0)*",Blood | Feces | Urine
aortic stenosis,"stearoyl sphingomyelin (d18:1/18:0) to sphingomyelin (d18:0/18:0, d19:0/17:0)*",sphingomyelin (d18:2/18:1)*,Blood | Breast Milk | Cerebrospinal Fluid (CSF) | Feces | Liver | Placenta | Saliva | Spleen | Urine | Brain | Erythrocyte,"sphingomyelin (d18:0/18:0, d19:0/17:0)*",Blood | Feces | Urine
asthma,histidine betaine (hercynine)* to acetylcarnitine (c2),histidine betaine (hercynine)*,,acetylcarnitine (c2),Blood | Breast Milk | Cerebrospinal Fluid (CSF) | Feces | Neuron | Placenta | Prostate | Saliva | Skeletal Muscle | Urine | Brain | Semen
atopic eczema,3-hydroxyoleoylcarnitine to docosapentaenoate (n6 dpa; 22:5n6),3-hydroxyoleoylcarnitine,,docosapentaenoate (n6 dpa; 22:5n6),Adipose Tissue | Blood | Feces | Fibroblasts | Placenta | Platelet | Urine
atopic eczema,adrenate (22:4n6) to 3-hydroxyoleoylcarnitine,adrenate (22:4n6),Blood | Feces | Neuron | Placenta | Urine,3-hydroxyoleoylcarnitine,
atopic eczema,arachidonate (20:4n6) to 3-hydroxyoleoylcarnitine,arachidonate (20:4n6),Adipose Tissue | Blood | Cerebrospinal Fluid (CSF) | Feces | Fibroblasts | Kidney | Liver | Neuron | Pancreas | Placenta | Platelet | Prostate | Saliva | Skeletal Muscle | Spleen | Testis | Thyroid Gland | Urine | Epidermis | Intestine | Lung,3-hydroxyoleoylcarnitine,
atopic eczema,dihomo-linoleate (20:2n6) to 3-hydroxyoleoylcarnitine,dihomo-linoleate (20:2n6),Blood | Feces | Placenta,3-hydroxyoleoylcarnitine,
atopic eczema,dihomo-linolenate (20:3n3 or n6) to 3-hydroxyoleoylcarnitine,dihomo-linolenate (20:3n3 or n6),Adipose Tissue | Blood | Feces | Placenta | Saliva | Epidermis,3-hydroxyoleoylcarnitine,
atopic eczema,docosapentaenoate n3 DPA; 22:5n3 to 3-hydroxyoleoylcarnitine,docosapentaenoate (n3 dpa; 22:5n3),Blood | Feces | Placenta | Urine,3-hydroxyoleoylcarnitine,
atopic eczema,ergothioneine to lignoceroylcarnitine (c24)*,ergothioneine,Blood | Placenta | Urine,lignoceroylcarnitine (c24)*,Blood
basophil count,ergothioneine to arachidoylcarnitine (c20)*,ergothioneine,Blood | Placenta | Urine,arachidoylcarnitine (c20)*,Blood | Urine
basophil count,ergothioneine to lignoceroylcarnitine (c24)*,ergothioneine,Blood | Placenta | Urine,lignoceroylcarnitine (c24)*,Blood
basophil count,histidine betaine (hercynine)* to arachidoylcarnitine (c20)*,histidine betaine (hercynine)*,,arachidoylcarnitine (c20)*,Blood | Urine
basophil count,histidine betaine (hercynine)* to lignoceroylcarnitine (c24)*,histidine betaine (hercynine)*,,lignoceroylcarnitine (c24)*,Blood
body height,1-(1-enyl-palmitoyl)-2-linoleoyl-gpe (p-16:0/18:2)* to 1-oleoyl-2-arachidonoyl-gpe (18:1/20:4)*,1-(1-enyl-palmitoyl)-2-linoleoyl-gpe (p-16:0/18:2)*,Feces | Placenta | All Tissues | Brain,1-oleoyl-2-arachidonoyl-gpe (18:1/20:4)*,All Tissues | Brain
body height,1-(1-enyl-palmitoyl)-2-linoleoyl-gpe (p-16:0/18:2)* to 1-stearoyl-2-arachidonoyl-gpe (18:0/20:4),1-(1-enyl-palmitoyl)-2-linoleoyl-gpe (p-16:0/18:2)*,Feces | Placenta | All Tissues | Brain,1-stearoyl-2-arachidonoyl-gpe (18:0/20:4),Placenta | All Tissues | Brain
body height,1-(1-enyl-palmitoyl)-gpc (p-16:0)* to 1-(1-enyl-palmitoyl)-2-linoleoyl-gpc (p-16:0/18:2)*,1-(1-enyl-palmitoyl)-gpc (p-16:0)*,Blood | All Tissues,1-(1-enyl-palmitoyl)-2-linoleoyl-gpc (p-16:0/18:2)*,Blood | Feces | Saliva | Urine | All Tissues
body height,1-(1-enyl-stearoyl)-2-linoleoyl-gpe (p-18:0/18:2)* to 1-stearoyl-2-arachidonoyl-gpe (18:0/20:4),1-(1-enyl-stearoyl)-2-linoleoyl-gpe (p-18:0/18:2)*,Feces | Placenta | All Tissues | Brain,1-stearoyl-2-arachidonoyl-gpe (18:0/20:4),Placenta | All Tissues | Brain
body height,1-(1-enyl-stearoyl)-2-linoleoyl-gpe (p-18:0/18:2)* to docosapentaenoate (n6 dpa; 22:5n6),1-(1-enyl-stearoyl)-2-linoleoyl-gpe (p-18:0/18:2)*,Feces | Placenta | All Tissues | Brain,docosapentaenoate (n6 dpa; 22:5n6),Adipose Tissue | Blood | Feces | Fibroblasts | Placenta | Platelet | Urine
body height,1-(1-enyl-stearoyl)-2-linoleoyl-gpe (p-18:0/18:2)* to stearoylcarnitine (c18),1-(1-enyl-stearoyl)-2-linoleoyl-gpe (p-18:0/18:2)*,Feces | Placenta | All Tissues | Brain,stearoylcarnitine (c18),Blood | Feces | Placenta | Urine
