disease_name,ratio_name,numerator_name,numerator_tissues,denominator_name,denominator_tissues
body height,docosapentaenoate n3 DPA; 22:5n3 to myristoleate (14:1n5),docosapentaenoate (n3 dpa; 22:5n3),Blood | Feces | Placenta | Urine,myristoleate (14:1n5),Adipose Tissue | Blood | Feces | Placenta | Saliva
body height,docosapentaenoate n3 DPA; 22:5n3 to palmitoleate (16:1n7),docosapentaenoate (n3 dpa; 22:5n3),Blood | Feces | Placenta | Urine,palmitoleate (16:1n7),Adipose Tissue | Blood | Cerebrospinal Fluid (CSF) | Feces | Placenta | Prostate | Saliva | Skeletal Muscle | Urine
body height,docosapentaenoate n3 DPA; 22:5n3 to tetradecadienoate (14:2)*,docosapentaenoate (n3 dpa; 22:5n3),Blood | Feces | Placenta | Urine,tetradecadienoate (14:2)*,
body height,docosatrienoate (22:3n3) to 1-stearoyl-2-docosahexaenoyl-gpc (18:0/22:6),docosatrienoate (22:3n6)*,Blood | Feces | Placenta,1-stearoyl-2-docosahexaenoyl-gpc (18:0/22:6),Blood | Feces | Urine | All Tissues
body height,docosatrienoate (22:3n3) to 1-stearoyl-2-docosahexaenoyl-gpc (18:0/22:6),docosatrienoate (22:3n3),Blood | Feces | Placenta,1-stearoyl-2-docosahexaenoyl-gpc (18:0/22:6),Blood | Feces | Urine | All Tissues
body height,docosatrienoate (22:3n3) to Docosahexaenoate DHA; 22:6n3,docosatrienoate (22:3n6)*,Blood | Feces | Placenta,docosahexaenoate (dha; 22:6n3),Adipose Tissue | Blood | Cerebrospinal Fluid (CSF) | Feces | Fibroblasts | Kidney | Liver | Neuron | Pancreas | Placenta | Platelet | Prostate | Skeletal Muscle | Testis | Urine | Epidermis | Intestine | Retina | Brain | Erythrocyte
body height,docosatrienoate (22:3n3) to Docosahexaenoate DHA; 22:6n3,docosatrienoate (22:3n3),Blood | Feces | Placenta,docosahexaenoate (dha; 22:6n3),Adipose Tissue | Blood | Cerebrospinal Fluid (CSF) | Feces | Fibroblasts | Kidney | Liver | Neuron | Pancreas | Placenta | Platelet | Prostate | Skeletal Muscle | Testis | Urine | Epidermis | Intestine | Retina | Brain | Erythrocyte
body height,docosatrienoate (22:3n3) to docosapentaenoate (n6 dpa; 22:5n6),docosatrienoate (22:3n6)*,Blood | Feces | Placenta,docosapentaenoate (n6 dpa; 22:5n6),Adipose Tissue | Blood | Feces | Fibroblasts | Placenta | Platelet | Urine
body height,docosatrienoate (22:3n3) to docosapentaenoate (n6 dpa; 22:5n6),docosatrienoate (22:3n3),Blood | Feces | Placenta,docosapentaenoate (n6 dpa; 22:5n6),Adipose Tissue | Blood | Feces | Fibroblasts | Placenta | Platelet | Urine
body height,ergothioneine to isovalerylcarnitine (c5),ergothioneine,Blood | Placenta | Urine,isovalerylcarnitine (c5),Blood | Placenta | Saliva | Urine
body height,hexadecadienoate (16:2n6) to docosapentaenoate (n6 dpa; 22:5n6),hexadecadienoate (16:2n6),Feces,docosapentaenoate (n6 dpa; 22:5n6),Adipose Tissue | Blood | Feces | Fibroblasts | Placenta | Platelet | Urine
body height,histidine betaine (hercynine)* to arachidoylcarnitine (c20)*,histidine betaine (hercynine)*,,arachidoylcarnitine (c20)*,Blood | Urine
body height,histidine betaine (hercynine)* to lignoceroylcarnitine (c24)*,histidine betaine (hercynine)*,,lignoceroylcarnitine (c24)*,Blood
body height,lignoceroylcarnitine (c24)* to tryptophan betaine,lignoceroylcarnitine (c24)*,Blood,tryptophan betaine,Blood | Feces | Placenta | Urine
body height,linoleate (18:2n6) to docosapentaenoate (n6 dpa; 22:5n6),linoleate (18:2n6),,docosapentaenoate (n6 dpa; 22:5n6),Adipose Tissue | Blood | Feces | Fibroblasts | Placenta | Platelet | Urine
body height,margarate (17:0) to Hexanoylcarnitine,margarate (17:0),Adipose Tissue | Blood | Feces | Placenta | Prostate | Saliva | Skeletal Muscle | Urine,hexanoylcarnitine (c6),Blood | Feces | Placenta | Urine
body height,"n-stearoyl-sphingosine (d18:1/18:0)* to sphingomyelin (d18:0/18:0, d19:0/17:0)*",n-stearoyl-sphingosine (d18:1/18:0)*,Blood | Feces | Fibroblasts | Kidney | Liver | Neuron | Pancreas | Placenta | Platelet | Skeletal Muscle | Spleen | Testis | Thyroid Gland | Urine | Epidermis | Intestine | Brain,"sphingomyelin (d18:0/18:0, d19:0/17:0)*",Blood | Feces | Urine
body height,octanoylcarnitine (c8) to decanoylcarnitine (c10),octanoylcarnitine (c8),Blood | Feces | Placenta | Urine,decanoylcarnitine (c10),Blood | Feces | Placenta | Urine
body height,"sphingomyelin (d18:1/18:1, d18:2/18:0) to 1-(1-enyl-palmitoyl)-2-linoleoyl-gpe (p-16:0/18:2)*","sphingomyelin (d18:1/18:1, d18:2/18:0)",Blood | Cerebrospinal Fluid (CSF) | Feces | Placenta | Saliva | Urine,1-(1-enyl-palmitoyl)-2-linoleoyl-gpe (p-16:0/18:2)*,Feces | Placenta | All Tissues | Brain
body height,"sphingomyelin (d18:1/18:1, d18:2/18:0) to alpha-hydroxyisovalerate","sphingomyelin (d18:1/18:1, d18:2/18:0)",Blood | Cerebrospinal Fluid (CSF) | Feces | Placenta | Saliva | Urine,alpha-hydroxyisovalerate,Blood | Cerebrospinal Fluid (CSF) | Feces | Placenta | Saliva | Urine
body height,stearoyl sphingomyelin (d18:1/18:0) to n-stearoyl-sphinganine (d18:0/18:0)*,stearoyl sphingomyelin (d18:1/18:0),Blood | Breast Milk | Cerebrospinal Fluid (CSF) | Feces | Liver | Placenta | Saliva | Spleen | Urine | Brain | Erythrocyte,n-stearoyl-sphinganine (d18:0/18:0)*,Blood | Feces | Urine
body height,stearoyl sphingomyelin (d18:1/18:0) to n-stearoyl-sphinganine (d18:0/18:0)*,sphingomyelin (d18:2/18:1)*,Blood | Breast Milk | Cerebrospinal Fluid (CSF) | Feces | Liver | Placenta | Saliva | Spleen | Urine | Brain | Erythrocyte,n-stearoyl-sphinganine (d18:0/18:0)*,Blood | Feces | Urine
body mass index,"2,6-dihydroxybenzoic acid to 2-aminophenol sulfate","2,6-dihydroxybenzoic acid",Blood | Urine,2-aminophenol sulfate,Blood | Urine
body mass index,3-amino-2-piperidone to lysine,3-amino-2-piperidone,Sweat,lysine,Feces | Neuron
body mass index,arginine to threonine,arginine,Adipose Tissue | Bladder | Blood | Cerebrospinal Fluid (CSF) | Feces | Fibroblasts | Kidney | Liver | Neuron | Pancreas | Placenta | Platelet | Prostate | Saliva | Skeletal Muscle | Spleen | Sweat | Testis | Urine | Epidermis | Intestine | Adrenal Cortex | Ovary,threonine,Blood | Breast Milk | Cerebrospinal Fluid (CSF) | Feces | Placenta | Prostate | Saliva | Sweat | Urine | All Tissues
body mass index,"creatinine to n6,n6,n6-trimethyllysine",creatinine,Adipose Tissue | Amniotic Fluid | Bladder | Blood | Breast Milk | Cerebrospinal Fluid (CSF) | Feces | Fibroblasts | Kidney | Liver | Neuron | Pancreas | Placenta | Platelet | Prostate | Saliva | Skeletal Muscle | Spleen | Sweat | Testis | Thyroid Gland | Urine,"n6,n6,n6-trimethyllysine",Blood | Cerebrospinal Fluid (CSF) | Feces | Placenta | Testis | Urine
body mass index,deoxycarnitine to lysine,deoxycarnitine,Blood | Feces | Kidney | Liver | Placenta | Saliva | Urine,lysine,Feces | Neuron
body mass index,glutarylcarnitine (c5-dc) to lysine,glutarylcarnitine (c5-dc),Blood | Feces | Placenta | Urine,lysine,Feces | Neuron
body mass index,leucine to lysine,leucine,Adipose Tissue | Bladder | Blood | Breast Milk | Cerebrospinal Fluid (CSF) | Feces | Fibroblasts | Kidney | Neuron | Placenta | Platelet | Prostate | Saliva | Skeletal Muscle | Sweat | Testis | Urine | Epidermis | Intestine | Adrenal Medulla,lysine,Feces | Neuron
body mass index,"n6,n6,n6-trimethyllysine to 3-amino-2-piperidone","n6,n6,n6-trimethyllysine",Blood | Cerebrospinal Fluid (CSF) | Feces | Placenta | Testis | Urine,3-amino-2-piperidone,Sweat
body mass index,"n6,n6,n6-trimethyllysine to glutarylcarnitine (c5-dc)","n6,n6,n6-trimethyllysine",Blood | Cerebrospinal Fluid (CSF) | Feces | Placenta | Testis | Urine,glutarylcarnitine (c5-dc),Blood | Feces | Placenta | Urine
body surface area,1-palmitoyl-2-linoleoyl-gpc (16:0/18:2) to 1-palmitoyl-2-stearoyl-gpc (16:0/18:0),1-palmitoyl-2-linoleoyl-gpc (16:0/18:2),Blood | Feces | Placenta | Saliva | Urine | All Tissues,1-palmitoyl-2-stearoyl-gpc (16:0/18:0),Placenta | All Tissues
bone density,palmitoyl dihydrosphingomyelin (d18:0/16:0)* to palmitoyl sphingomyelin (d18:1/16:0),palmitoyl dihydrosphingomyelin (d18:0/16:0)*,Blood | Feces | Placenta | Urine | All Tissues,palmitoyl sphingomyelin (d18:1/16:0),Blood | Cerebrospinal Fluid (CSF) | Feces | Placenta | Saliva | Urine | All Tissues
cardiovascular disease,histidine betaine (hercynine)* to acetylcarnitine (c2),histidine betaine (hercynine)*,,acetylcarnitine (c2),Blood | Breast Milk | Cerebrospinal Fluid (CSF) | Feces | Neuron | Placenta | Prostate | Saliva | Skeletal Muscle | Urine | Brain | Semen
cerebral cortex area attribute,arginine to threonine,arginine,Adipose Tissue | Bladder | Blood | Cerebrospinal Fluid (CSF) | Feces | Fibroblasts | Kidney | Liver | Neuron | Pancreas | Placenta | Platelet | Prostate | Saliva | Skeletal Muscle | Spleen | Sweat | Testis | Urine | Epidermis | Intestine | Adrenal Cortex | Ovary,threonine,Blood | Breast Milk | Cerebrospinal Fluid (CSF) | Feces | Placenta | Prostate | Saliva | Sweat | Urine | All Tissues
cerebrospinal fluid composition attribute,adipoylcarnitine (c6-dc) to glutarylcarnitine (c5-dc),adipoylcarnitine (c6-dc),Blood | Urine,glutarylcarnitine (c5-dc),Blood | Feces | Placenta | Urine
cerebrospinal fluid composition attribute,arabonate/xylonate to arabitol/xylitol,arabonate/xylonate,Feces | Placenta | Saliva,arabitol/xylitol,
cerebrospinal fluid composition attribute,dihomo-linoleate (20:2n6) to Hexanoylcarnitine,dihomo-linoleate (20:2n6),Blood | Feces | Placenta,hexanoylcarnitine (c6),Blood | Feces | Placenta | Urine
cerebrospinal fluid composition attribute,docosapentaenoate n3 DPA; 22:5n3 to Hexanoylcarnitine,docosapentaenoate (n3 dpa; 22:5n3),Blood | Feces | Placenta | Urine,hexanoylcarnitine (c6),Blood | Feces | Placenta | Urine
cerebrospinal fluid composition attribute,ergothioneine to carnitine,ergothioneine,Blood | Placenta | Urine,carnitine,Adipose Tissue | Bladder | Blood | Breast Milk | Cerebrospinal Fluid (CSF) | Feces | Fibroblasts | Kidney | Liver | Neuron | Placenta | Platelet | Prostate | Saliva | Skeletal Muscle | Testis | Urine | Intestine | Lung | Brain | Heart | Erythrocyte | Semen
cerebrospinal fluid composition attribute,pimeloylcarnitine/3-methyladipoylcarnitine (c7-dc) to glutarylcarnitine (c5-dc),pimeloylcarnitine/3-methyladipoylcarnitine (c7-dc),Blood | Feces | Urine,glutarylcarnitine (c5-dc),Blood | Feces | Placenta | Urine
cerebrospinal fluid composition attribute,trigonelline (n'-methylnicotinate) to citraconate/glutaconate,trigonelline (n'-methylnicotinate),Blood | Feces | Placenta | Urine,citraconate/glutaconate,
cerebrospinal fluid composition attribute,trigonelline (n'-methylnicotinate) to quinate,trigonelline (n'-methylnicotinate),Blood | Feces | Placenta | Urine,quinate,Blood | Feces | Placenta | Saliva | Spleen | Urine
cholelithiasis,"3b-hydroxy-5-cholenoic acid to 5alpha-androstan-3beta,17alpha-diol disulfate",3b-hydroxy-5-cholenoic acid,Blood | Feces | Saliva | Urine,"5alpha-androstan-3beta,17alpha-diol disulfate",Feces
cholelithiasis,"3b-hydroxy-5-cholenoic acid to 5alpha-androstan-3beta,17alpha-diol disulfate",3b-hydroxy-5-cholenoic acid,Blood | Feces | Saliva | Urine,"5alpha-androstan-3alpha,17beta-diol disulfate",Feces
coronary artery calcification,"1,2-dilinoleoyl-gpc (18:2/18:2) to 1,2-dipalmitoyl-gpc (16:0/16:0)","1,2-dilinoleoyl-gpc (18:2/18:2)",Blood | Feces | Placenta | Saliva | Urine | All Tissues,"1,2-dipalmitoyl-gpc (16:0/16:0)",Blood | Feces | Placenta | Saliva | Urine
coronary artery calcification,"1,2-dilinoleoyl-gpc (18:2/18:2) to 1-(1-enyl-palmitoyl)-2-arachidonoyl-gpc (p-16:0/20:4)*","1,2-dilinoleoyl-gpc (18:2/18:2)",Blood | Feces | Placenta | Saliva | Urine | All Tissues,1-(1-enyl-palmitoyl)-2-arachidonoyl-gpc (p-16:0/20:4)*,Placenta | All Tissues
coronary artery calcification,"1,2-dilinoleoyl-gpc (18:2/18:2) to 1-(1-enyl-palmitoyl)-2-oleoyl-gpc (p-16:0/18:1)*","1,2-dilinoleoyl-gpc (18:2/18:2)",Blood | Feces | Placenta | Saliva | Urine | All Tissues,1-(1-enyl-palmitoyl)-2-oleoyl-gpc (p-16:0/18:1)*,Blood | Feces | Saliva | Urine | All Tissues
coronary artery calcification,"1,2-dilinoleoyl-gpc (18:2/18:2) to 1-arachidonoyl-gpe (20:4n6)*","1,2-dilinoleoyl-gpc (18:2/18:2)",Blood | Feces | Placenta | Saliva | Urine | All Tissues,1-arachidonoyl-gpe (20:4n6)*,Placenta | All Tissues
coronary artery calcification,"1,2-dilinoleoyl-gpc (18:2/18:2) to 1-lignoceroyl-gpc (24:0)","1,2-dilinoleoyl-gpc (18:2/18:2)",Blood | Feces | Placenta | Saliva | Urine | All Tissues,1-lignoceroyl-gpc (24:0),Blood | Feces | Urine | All Tissues
coronary artery calcification,"1,2-dilinoleoyl-gpc (18:2/18:2) to 1-linoleoyl-2-arachidonoyl-gpc (18:2/20:4n6)*","1,2-dilinoleoyl-gpc (18:2/18:2)",Blood | Feces | Placenta | Saliva | Urine | All Tissues,1-linoleoyl-2-arachidonoyl-gpc (18:2/20:4n6)*,Blood | Feces | Placenta | Saliva | Urine | All Tissues
coronary artery calcification,"1,2-dilinoleoyl-gpc (18:2/18:2) to 1-stearoyl-2-arachidonoyl-gpi (18:0/20:4)","1,2-dilinoleoyl-gpc (18:2/18:2)",Blood | Feces | Placenta | Saliva | Urine | All Tissues,1-stearoyl-2-arachidonoyl-gpi (18:0/20:4),Blood | Feces | Placenta | All Tissues | Brain
coronary artery calcification,"1,2-dilinoleoyl-gpc (18:2/18:2) to 1-stearoyl-gpe (18:0)","1,2-dilinoleoyl-gpc (18:2/18:2)",Blood | Feces | Placenta | Saliva | Urine | All Tissues,1-stearoyl-gpe (18:0),Feces | Placenta
coronary artery calcification,"1,2-dilinoleoyl-gpc (18:2/18:2) to sphingomyelin (d18:1/22:1, d18:2/22:0, d16:1/24:1)*","1,2-dilinoleoyl-gpc (18:2/18:2)",Blood | Feces | Placenta | Saliva | Urine | All Tissues,"sphingomyelin (d18:1/22:1, d18:2/22:0, d16:1/24:1)*",Blood | Placenta
coronary artery calcification,"1,2-dilinoleoyl-gpe (18:2/18:2)* to 1,2-dipalmitoyl-gpc (16:0/16:0)","1,2-dilinoleoyl-gpe (18:2/18:2)*",Placenta | All Tissues | Brain,"1,2-dipalmitoyl-gpc (16:0/16:0)",Blood | Feces | Placenta | Saliva | Urine
coronary artery calcification,"1,2-dilinoleoyl-gpe (18:2/18:2)* to 1-arachidonoyl-gpe (20:4n6)*","1,2-dilinoleoyl-gpe (18:2/18:2)*",Placenta | All Tissues | Brain,1-arachidonoyl-gpe (20:4n6)*,Placenta | All Tissues
coronary artery calcification,"1,2-dilinoleoyl-gpe (18:2/18:2)* to 1-stearoyl-2-arachidonoyl-gpi (18:0/20:4)","1,2-dilinoleoyl-gpe (18:2/18:2)*",Placenta | All Tissues | Brain,1-stearoyl-2-arachidonoyl-gpi (18:0/20:4),Blood | Feces | Placenta | All Tissues | Brain
coronary artery calcification,"1,2-dilinoleoyl-gpe (18:2/18:2)* to 1-stearoyl-gpe (18:0)","1,2-dilinoleoyl-gpe (18:2/18:2)*",Placenta | All Tissues | Brain,1-stearoyl-gpe (18:0),Feces | Placenta
coronary artery calcification,"1-(1-enyl-palmitoyl)-2-linoleoyl-gpe (p-16:0/18:2)* to 1,2-dipalmitoyl-gpc (16:0/16:0)",1-(1-enyl-palmitoyl)-2-linoleoyl-gpe (p-16:0/18:2)*,Feces | Placenta | All Tissues | Brain,"1,2-dipalmitoyl-gpc (16:0/16:0)",Blood | Feces | Placenta | Saliva | Urine
coronary artery calcification,1-(1-enyl-palmitoyl)-2-linoleoyl-gpe (p-16:0/18:2)* to 1-(1-enyl-palmitoyl)-2-arachidonoyl-gpc (p-16:0/20:4)*,1-(1-enyl-palmitoyl)-2-linoleoyl-gpe (p-16:0/18:2)*,Feces | Placenta | All Tissues | Brain,1-(1-enyl-palmitoyl)-2-arachidonoyl-gpc (p-16:0/20:4)*,Placenta | All Tissues
coronary artery calcification,1-(1-enyl-palmitoyl)-2-linoleoyl-gpe (p-16:0/18:2)* to 1-(1-enyl-palmitoyl)-2-oleoyl-gpc (p-16:0/18:1)*,1-(1-enyl-palmitoyl)-2-linoleoyl-gpe (p-16:0/18:2)*,Feces | Placenta | All Tissues | Brain,1-(1-enyl-palmitoyl)-2-oleoyl-gpc (p-16:0/18:1)*,Blood | Feces | Saliva | Urine | All Tissues
coronary artery calcification,"1-(1-enyl-palmitoyl)-2-oleoyl-gpc (p-16:0/18:1)* to 1,2-dilinoleoyl-gpe (18:2/18:2)*",1-(1-enyl-palmitoyl)-2-oleoyl-gpc (p-16:0/18:1)*,Blood | Feces | Saliva | Urine | All Tissues,"1,2-dilinoleoyl-gpe (18:2/18:2)*",Placenta | All Tissues | Brain
coronary artery calcification,1-(1-enyl-palmitoyl)-2-oleoyl-gpc (p-16:0/18:1)* to 1-palmitoleoyl-2-linolenoyl-gpc (16:1/18:3)*,1-(1-enyl-palmitoyl)-2-oleoyl-gpc (p-16:0/18:1)*,Blood | Feces | Saliva | Urine | All Tissues,1-palmitoleoyl-2-linolenoyl-gpc (16:1/18:3)*,Blood | Feces | Urine | All Tissues
coronary artery calcification,1-(1-enyl-palmitoyl)-2-palmitoleoyl-gpc (p-16:0/16:1)* to 1-(1-enyl-palmitoyl)-2-linoleoyl-gpc (p-16:0/18:2)*,1-(1-enyl-palmitoyl)-2-palmitoleoyl-gpc (p-16:0/16:1)*,Blood | Feces | Placenta | Urine | All Tissues,1-(1-enyl-palmitoyl)-2-linoleoyl-gpc (p-16:0/18:2)*,Blood | Feces | Saliva | Urine | All Tissues
coronary artery calcification,1-(1-enyl-palmitoyl)-2-palmitoleoyl-gpc (p-16:0/16:1)* to 1-(1-enyl-palmitoyl)-2-linoleoyl-gpe (p-16:0/18:2)*,1-(1-enyl-palmitoyl)-2-palmitoleoyl-gpc (p-16:0/16:1)*,Blood | Feces | Placenta | Urine | All Tissues,1-(1-enyl-palmitoyl)-2-linoleoyl-gpe (p-16:0/18:2)*,Feces | Placenta | All Tissues | Brain
coronary artery calcification,1-(1-enyl-palmitoyl)-2-palmitoleoyl-gpc (p-16:0/16:1)* to 1-(1-enyl-stearoyl)-2-linoleoyl-gpe (p-18:0/18:2)*,1-(1-enyl-palmitoyl)-2-palmitoleoyl-gpc (p-16:0/16:1)*,Blood | Feces | Placenta | Urine | All Tissues,1-(1-enyl-stearoyl)-2-linoleoyl-gpe (p-18:0/18:2)*,Feces | Placenta | All Tissues | Brain
coronary artery calcification,1-(1-enyl-palmitoyl)-2-palmitoleoyl-gpc (p-16:0/16:1)* to 1-linoleoyl-gpc (18:2),1-(1-enyl-palmitoyl)-2-palmitoleoyl-gpc (p-16:0/16:1)*,Blood | Feces | Placenta | Urine | All Tissues,1-linoleoyl-gpc (18:2),Blood | Feces | Placenta | Urine | All Tissues
coronary artery calcification,"1-(1-enyl-palmitoyl)-2-palmitoyl-gpc (p-16:0/16:0)* to 1,2-dilinoleoyl-gpe (18:2/18:2)*",1-(1-enyl-palmitoyl)-2-palmitoyl-gpc (p-16:0/16:0)*,Blood | Feces | Placenta | Saliva | Urine | All Tissues,"1,2-dilinoleoyl-gpe (18:2/18:2)*",Placenta | All Tissues | Brain
coronary artery calcification,"1-(1-enyl-palmitoyl)-gpc (p-16:0)* to 1,2-dilinoleoyl-gpe (18:2/18:2)*",1-(1-enyl-palmitoyl)-gpc (p-16:0)*,Blood | All Tissues,"1,2-dilinoleoyl-gpe (18:2/18:2)*",Placenta | All Tissues | Brain
coronary artery calcification,1-(1-enyl-palmitoyl)-gpc (p-16:0)* to 1-(1-enyl-palmitoyl)-2-linoleoyl-gpe (p-16:0/18:2)*,1-(1-enyl-palmitoyl)-gpc (p-16:0)*,Blood | All Tissues,1-(1-enyl-palmitoyl)-2-linoleoyl-gpe (p-16:0/18:2)*,Feces | Placenta | All Tissues | Brain
coronary artery calcification,1-(1-enyl-palmitoyl)-gpc (p-16:0)* to linoleoylcholine*,1-(1-enyl-palmitoyl)-gpc (p-16:0)*,Blood | All Tissues,linoleoylcholine*,
coronary artery calcification,"1-(1-enyl-stearoyl)-2-linoleoyl-gpe (p-18:0/18:2)* to 1,2-dipalmitoyl-gpc (16:0/16:0)",1-(1-enyl-stearoyl)-2-linoleoyl-gpe (p-18:0/18:2)*,Feces | Placenta | All Tissues | Brain,"1,2-dipalmitoyl-gpc (16:0/16:0)",Blood | Feces | Placenta | Saliva | Urine
coronary artery calcification,1-(1-enyl-stearoyl)-2-linoleoyl-gpe (p-18:0/18:2)* to 1-(1-enyl-palmitoyl)-2-arachidonoyl-gpc (p-16:0/20:4)*,1-(1-enyl-stearoyl)-2-linoleoyl-gpe (p-18:0/18:2)*,Feces | Placenta | All Tissues | Brain,1-(1-enyl-palmitoyl)-2-arachidonoyl-gpc (p-16:0/20:4)*,Placenta | All Tissues
coronary artery calcification,1-(1-enyl-stearoyl)-2-linoleoyl-gpe (p-18:0/18:2)* to 1-(1-enyl-palmitoyl)-2-oleoyl-gpc (p-16:0/18:1)*,1-(1-enyl-stearoyl)-2-linoleoyl-gpe (p-18:0/18:2)*,Feces | Placenta | All Tissues | Brain,1-(1-enyl-palmitoyl)-2-oleoyl-gpc (p-16:0/18:1)*,Blood | Feces | Saliva | Urine | All Tissues
coronary artery calcification,1-(1-enyl-stearoyl)-2-linoleoyl-gpe (p-18:0/18:2)* to 1-stearoyl-2-arachidonoyl-gpi (18:0/20:4),1-(1-enyl-stearoyl)-2-linoleoyl-gpe (p-18:0/18:2)*,Feces | Placenta | All Tissues | Brain,1-stearoyl-2-arachidonoyl-gpi (18:0/20:4),Blood | Feces | Placenta | All Tissues | Brain
coronary artery calcification,1-arachidonoyl-gpe (20:4n6)* to 1-linoleoyl-gpc (18:2),1-arachidonoyl-gpe (20:4n6)*,Placenta | All Tissues,1-linoleoyl-gpc (18:2),Blood | Feces | Placenta | Urine | All Tissues
coronary artery calcification,1-arachidonoyl-gpe (20:4n6)* to 1-oleoyl-gpe (18:1),1-arachidonoyl-gpe (20:4n6)*,Placenta | All Tissues,1-oleoyl-gpe (18:1),Feces | Placenta | All Tissues
coronary artery calcification,"1-lignoceroyl-gpc (24:0) to 1,2-dilinoleoyl-gpe (18:2/18:2)*",1-lignoceroyl-gpc (24:0),Blood | Feces | Urine | All Tissues,"1,2-dilinoleoyl-gpe (18:2/18:2)*",Placenta | All Tissues | Brain
coronary artery calcification,1-lignoceroyl-gpc (24:0) to 1-oleoyl-gpe (18:1),1-lignoceroyl-gpc (24:0),Blood | Feces | Urine | All Tissues,1-oleoyl-gpe (18:1),Feces | Placenta | All Tissues
coronary artery calcification,1-lignoceroyl-gpc (24:0) to 1-palmitoleoyl-2-linolenoyl-gpc (16:1/18:3)*,1-lignoceroyl-gpc (24:0),Blood | Feces | Urine | All Tissues,1-palmitoleoyl-2-linolenoyl-gpc (16:1/18:3)*,Blood | Feces | Urine | All Tissues
coronary artery calcification,"1-linoleoyl-gpi (18:2)* to 1,2-dipalmitoyl-gpc (16:0/16:0)",1-linoleoyl-gpi (18:2)*,Blood | Placenta | Urine,"1,2-dipalmitoyl-gpc (16:0/16:0)",Blood | Feces | Placenta | Saliva | Urine
coronary artery calcification,1-linoleoyl-gpi (18:2)* to 1-(1-enyl-palmitoyl)-2-oleoyl-gpc (p-16:0/18:1)*,1-linoleoyl-gpi (18:2)*,Blood | Placenta | Urine,1-(1-enyl-palmitoyl)-2-oleoyl-gpc (p-16:0/18:1)*,Blood | Feces | Saliva | Urine | All Tissues
coronary artery calcification,1-linoleoyl-gpi (18:2)* to 1-(1-enyl-palmitoyl)-2-palmitoleoyl-gpc (p-16:0/16:1)*,1-linoleoyl-gpi (18:2)*,Blood | Placenta | Urine,1-(1-enyl-palmitoyl)-2-palmitoleoyl-gpc (p-16:0/16:1)*,Blood | Feces | Placenta | Urine | All Tissues
coronary artery calcification,1-linoleoyl-gpi (18:2)* to 1-(1-enyl-palmitoyl)-2-palmitoyl-gpc (p-16:0/16:0)*,1-linoleoyl-gpi (18:2)*,Blood | Placenta | Urine,1-(1-enyl-palmitoyl)-2-palmitoyl-gpc (p-16:0/16:0)*,Blood | Feces | Placenta | Saliva | Urine | All Tissues
coronary artery calcification,1-linoleoyl-gpi (18:2)* to 1-(1-enyl-palmitoyl)-gpc (p-16:0)*,1-linoleoyl-gpi (18:2)*,Blood | Placenta | Urine,1-(1-enyl-palmitoyl)-gpc (p-16:0)*,Blood | All Tissues
coronary artery calcification,1-linoleoyl-gpi (18:2)* to 1-(1-enyl-stearoyl)-2-arachidonoyl-gpe (p-18:0/20:4)*,1-linoleoyl-gpi (18:2)*,Blood | Placenta | Urine,1-(1-enyl-stearoyl)-2-arachidonoyl-gpe (p-18:0/20:4)*,Placenta | All Tissues | Brain
coronary artery calcification,1-linoleoyl-gpi (18:2)* to 1-lignoceroyl-gpc (24:0),1-linoleoyl-gpi (18:2)*,Blood | Placenta | Urine,1-lignoceroyl-gpc (24:0),Blood | Feces | Urine | All Tissues
coronary artery calcification,"1-linoleoyl-gpi (18:2)* to sphingomyelin (d18:1/22:1, d18:2/22:0, d16:1/24:1)*",1-linoleoyl-gpi (18:2)*,Blood | Placenta | Urine,"sphingomyelin (d18:1/22:1, d18:2/22:0, d16:1/24:1)*",Blood | Placenta
coronary artery calcification,1-myristoyl-2-arachidonoyl-gpc (14:0/20:4)* to 1-myristoyl-2-palmitoyl-gpc (14:0/16:0),1-myristoyl-2-arachidonoyl-gpc (14:0/20:4)*,Blood | Feces | Urine | All Tissues,1-myristoyl-2-palmitoyl-gpc (14:0/16:0),Blood | Feces | All Tissues
coronary artery calcification,1-oleoyl-gpc (18:1) to 1-linoleoyl-gpc (18:2),1-oleoyl-gpc (18:1),Blood | Feces | Placenta | Urine,1-linoleoyl-gpc (18:2),Blood | Feces | Placenta | Urine | All Tissues
coronary artery calcification,"1-oleoyl-gpi (18:1) to 1,2-dipalmitoyl-gpc (16:0/16:0)",1-oleoyl-gpi (18:1),Blood | Placenta | Urine,"1,2-dipalmitoyl-gpc (16:0/16:0)",Blood | Feces | Placenta | Saliva | Urine
coronary artery calcification,1-oleoyl-gpi (18:1) to 1-(1-enyl-palmitoyl)-2-oleoyl-gpc (p-16:0/18:1)*,1-oleoyl-gpi (18:1),Blood | Placenta | Urine,1-(1-enyl-palmitoyl)-2-oleoyl-gpc (p-16:0/18:1)*,Blood | Feces | Saliva | Urine | All Tissues
coronary artery calcification,1-oleoyl-gpi (18:1) to 1-(1-enyl-palmitoyl)-2-palmitoleoyl-gpc (p-16:0/16:1)*,1-oleoyl-gpi (18:1),Blood | Placenta | Urine,1-(1-enyl-palmitoyl)-2-palmitoleoyl-gpc (p-16:0/16:1)*,Blood | Feces | Placenta | Urine | All Tissues
