disease_name,ratio_name,causal_gene,drug_name,max_phase
Alzheimer disease,1-(1-enyl-palmitoyl)-2-oleoyl-gpc (p-16:0/18:1)* to lactosyl-n-nervonoyl-sphingosine (d18:1/24:1)*,GRIN3B,FELBAMATE,4
Alzheimer disease,1-(1-enyl-palmitoyl)-2-palmitoyl-gpc (p-16:0/16:0)* to lactosyl-n-nervonoyl-sphingosine (d18:1/24:1)*,GRIN3B,FELBAMATE,4
Alzheimer disease,1-(1-enyl-palmitoyl)-2-oleoyl-gpc (p-16:0/18:1)* to lactosyl-n-nervonoyl-sphingosine (d18:1/24:1)*,GRIN3B,FELBAMATE,4
Alzheimer disease,1-(1-enyl-palmitoyl)-2-palmitoyl-gpc (p-16:0/16:0)* to lactosyl-n-nervonoyl-sphingosine (d18:1/24:1)*,GRIN3B,FELBAMATE,4
Alzheimer disease,1-(1-enyl-palmitoyl)-2-oleoyl-gpc (p-16:0/18:1)* to lactosyl-n-nervonoyl-sphingosine (d18:1/24:1)*,GRIN3B,ORPHENADRINE CITRATE,4
Alzheimer disease,1-(1-enyl-palmitoyl)-2-palmitoyl-gpc (p-16:0/16:0)* to lactosyl-n-nervonoyl-sphingosine (d18:1/24:1)*,GRIN3B,ORPHENADRINE CITRATE,4
Alzheimer disease,1-(1-enyl-palmitoyl)-2-oleoyl-gpc (p-16:0/18:1)* to lactosyl-n-nervonoyl-sphingosine (d18:1/24:1)*,GRIN3B,ORPHENADRINE CITRATE,4
Alzheimer disease,1-(1-enyl-palmitoyl)-2-palmitoyl-gpc (p-16:0/16:0)* to lactosyl-n-nervonoyl-sphingosine (d18:1/24:1)*,GRIN3B,ORPHENADRINE CITRATE,4
Alzheimer disease,1-(1-enyl-palmitoyl)-2-oleoyl-gpc (p-16:0/18:1)* to lactosyl-n-nervonoyl-sphingosine (d18:1/24:1)*,GRIN3B,AMANTADINE HYDROCHLORIDE,4
Alzheimer disease,1-(1-enyl-palmitoyl)-2-palmitoyl-gpc (p-16:0/16:0)* to lactosyl-n-nervonoyl-sphingosine (d18:1/24:1)*,GRIN3B,AMANTADINE HYDROCHLORIDE,4
Alzheimer disease,1-(1-enyl-palmitoyl)-2-oleoyl-gpc (p-16:0/18:1)* to lactosyl-n-nervonoyl-sphingosine (d18:1/24:1)*,GRIN3B,AMANTADINE HYDROCHLORIDE,4
Alzheimer disease,1-(1-enyl-palmitoyl)-2-palmitoyl-gpc (p-16:0/16:0)* to lactosyl-n-nervonoyl-sphingosine (d18:1/24:1)*,GRIN3B,AMANTADINE HYDROCHLORIDE,4
Alzheimer disease,1-(1-enyl-palmitoyl)-2-oleoyl-gpc (p-16:0/18:1)* to lactosyl-n-nervonoyl-sphingosine (d18:1/24:1)*,GRIN3B,ESKETAMINE HYDROCHLORIDE,4
Alzheimer disease,1-(1-enyl-palmitoyl)-2-palmitoyl-gpc (p-16:0/16:0)* to lactosyl-n-nervonoyl-sphingosine (d18:1/24:1)*,GRIN3B,ESKETAMINE HYDROCHLORIDE,4
Alzheimer disease,1-(1-enyl-palmitoyl)-2-oleoyl-gpc (p-16:0/18:1)* to lactosyl-n-nervonoyl-sphingosine (d18:1/24:1)*,GRIN3B,ESKETAMINE HYDROCHLORIDE,4
Alzheimer disease,1-(1-enyl-palmitoyl)-2-palmitoyl-gpc (p-16:0/16:0)* to lactosyl-n-nervonoyl-sphingosine (d18:1/24:1)*,GRIN3B,ESKETAMINE HYDROCHLORIDE,4
Alzheimer disease,1-(1-enyl-palmitoyl)-2-oleoyl-gpc (p-16:0/18:1)* to lactosyl-n-nervonoyl-sphingosine (d18:1/24:1)*,GRIN3B,ESKETAMINE,4
Alzheimer disease,1-(1-enyl-palmitoyl)-2-palmitoyl-gpc (p-16:0/16:0)* to lactosyl-n-nervonoyl-sphingosine (d18:1/24:1)*,GRIN3B,ESKETAMINE,4
Alzheimer disease,1-(1-enyl-palmitoyl)-2-oleoyl-gpc (p-16:0/18:1)* to lactosyl-n-nervonoyl-sphingosine (d18:1/24:1)*,GRIN3B,ESKETAMINE,4
Alzheimer disease,1-(1-enyl-palmitoyl)-2-palmitoyl-gpc (p-16:0/16:0)* to lactosyl-n-nervonoyl-sphingosine (d18:1/24:1)*,GRIN3B,ESKETAMINE,4
COVID-19,palmitoyl sphingomyelin (d18:1/16:0) to lactosyl-n-palmitoyl-sphingosine (d18:1/16:0),THRA,LIOTHYRONINE SODIUM,4
COVID-19,palmitoyl sphingomyelin (d18:1/16:0) to lactosyl-n-palmitoyl-sphingosine (d18:1/16:0),THRA,LIOTHYRONINE SODIUM,4
COVID-19,palmitoyl sphingomyelin (d18:1/16:0) to lactosyl-n-palmitoyl-sphingosine (d18:1/16:0),THRA,LEVOTHYROXINE SODIUM,4
COVID-19,palmitoyl sphingomyelin (d18:1/16:0) to lactosyl-n-palmitoyl-sphingosine (d18:1/16:0),THRA,LEVOTHYROXINE SODIUM,4
COVID-19,palmitoyl sphingomyelin (d18:1/16:0) to lactosyl-n-palmitoyl-sphingosine (d18:1/16:0),THRA,DEXTROTHYROXINE,4
COVID-19,palmitoyl sphingomyelin (d18:1/16:0) to lactosyl-n-palmitoyl-sphingosine (d18:1/16:0),THRA,DEXTROTHYROXINE,4
Nasal cavity polyp,histidine betaine (hercynine)* to x-11381,IL13,TRALOKINUMAB,4
Nasal cavity polyp,histidine betaine (hercynine)* to x-11381,IL13,TRALOKINUMAB,4
VLDL particle size,1-stearoyl-2-linoleoyl-gpc (18:0/18:2)* to 1-palmitoyl-2-stearoyl-gpc (16:0/18:0),SLC22A6,PROBENECID,4
VLDL particle size,1-stearoyl-2-linoleoyl-gpc (18:0/18:2)* to 1-palmitoyl-2-stearoyl-gpc (16:0/18:0),SLC22A6,PROBENECID,4
VLDL particle size,1-stearoyl-2-linoleoyl-gpc (18:0/18:2)* to 1-palmitoyl-2-stearoyl-gpc (16:0/18:0),SLC22A6,PROBENECID,4.0
asthma,histidine betaine (hercynine)* to acetylcarnitine (c2),IL13,TRALOKINUMAB,4
asthma,histidine betaine (hercynine)* to nervonoylcarnitine (c24:1)*,IL13,TRALOKINUMAB,4
asthma,histidine betaine (hercynine)* to acetylcarnitine (c2),IL13,TRALOKINUMAB,4
asthma,histidine betaine (hercynine)* to nervonoylcarnitine (c24:1)*,IL13,TRALOKINUMAB,4
atopic eczema,adrenate (22:4n6) to 3-hydroxyoleoylcarnitine,IL13,TRALOKINUMAB,4
atopic eczema,dihomo-linolenate (20:3n3 or n6) to 3-hydroxyoleoylcarnitine,IL13,TRALOKINUMAB,4
atopic eczema,dihomo-linoleate (20:2n6) to 3-hydroxyoleoylcarnitine,IL13,TRALOKINUMAB,4
atopic eczema,arachidonate (20:4n6) to 3-hydroxyoleoylcarnitine,IL13,TRALOKINUMAB,4
atopic eczema,docosapentaenoate n3 DPA; 22:5n3 to (r)-3-hydroxybutyrylcarnitine,IL13,TRALOKINUMAB,4
atopic eczema,docosapentaenoate n3 DPA; 22:5n3 to 3-hydroxyoleoylcarnitine,IL13,TRALOKINUMAB,4
atopic eczema,ergothioneine to lignoceroylcarnitine (c24)*,IL13,TRALOKINUMAB,4
atopic eczema,3-hydroxyoleoylcarnitine to docosapentaenoate (n6 dpa; 22:5n6),IL13,TRALOKINUMAB,4
atopic eczema,adrenate (22:4n6) to 3-hydroxyoleoylcarnitine,IL13,TRALOKINUMAB,4
atopic eczema,dihomo-linolenate (20:3n3 or n6) to 3-hydroxyoleoylcarnitine,IL13,TRALOKINUMAB,4
atopic eczema,dihomo-linoleate (20:2n6) to 3-hydroxyoleoylcarnitine,IL13,TRALOKINUMAB,4
atopic eczema,arachidonate (20:4n6) to 3-hydroxyoleoylcarnitine,IL13,TRALOKINUMAB,4
atopic eczema,docosapentaenoate n3 DPA; 22:5n3 to (r)-3-hydroxybutyrylcarnitine,IL13,TRALOKINUMAB,4
atopic eczema,docosapentaenoate n3 DPA; 22:5n3 to 3-hydroxyoleoylcarnitine,IL13,TRALOKINUMAB,4
atopic eczema,ergothioneine to lignoceroylcarnitine (c24)*,IL13,TRALOKINUMAB,4
atopic eczema,3-hydroxyoleoylcarnitine to docosapentaenoate (n6 dpa; 22:5n6),IL13,TRALOKINUMAB,4
basophil count,ergothioneine to arachidoylcarnitine (c20)*,IL13,TRALOKINUMAB,4
basophil count,ergothioneine to cerotoylcarnitine (c26)*,IL13,TRALOKINUMAB,4
basophil count,ergothioneine to lignoceroylcarnitine (c24)*,IL13,TRALOKINUMAB,4
basophil count,histidine betaine (hercynine)* to arachidoylcarnitine (c20)*,IL13,TRALOKINUMAB,4
basophil count,histidine betaine (hercynine)* to lignoceroylcarnitine (c24)*,IL13,TRALOKINUMAB,4
basophil count,ergothioneine to arachidoylcarnitine (c20)*,IL13,TRALOKINUMAB,4
basophil count,ergothioneine to cerotoylcarnitine (c26)*,IL13,TRALOKINUMAB,4
basophil count,ergothioneine to lignoceroylcarnitine (c24)*,IL13,TRALOKINUMAB,4
basophil count,histidine betaine (hercynine)* to arachidoylcarnitine (c20)*,IL13,TRALOKINUMAB,4
basophil count,histidine betaine (hercynine)* to lignoceroylcarnitine (c24)*,IL13,TRALOKINUMAB,4
basophil count,palmitoyl sphingomyelin (d18:1/16:0) to lactosyl-n-palmitoyl-sphingosine (d18:1/16:0),THRA,LIOTHYRONINE SODIUM,4
basophil count,palmitoyl sphingomyelin (d18:1/16:0) to lactosyl-n-palmitoyl-sphingosine (d18:1/16:0),THRA,LIOTHYRONINE SODIUM,4
basophil count,palmitoyl sphingomyelin (d18:1/16:0) to lactosyl-n-palmitoyl-sphingosine (d18:1/16:0),THRA,LEVOTHYROXINE SODIUM,4
basophil count,palmitoyl sphingomyelin (d18:1/16:0) to lactosyl-n-palmitoyl-sphingosine (d18:1/16:0),THRA,LEVOTHYROXINE SODIUM,4
basophil count,palmitoyl sphingomyelin (d18:1/16:0) to lactosyl-n-palmitoyl-sphingosine (d18:1/16:0),THRA,DEXTROTHYROXINE,4
basophil count,palmitoyl sphingomyelin (d18:1/16:0) to lactosyl-n-palmitoyl-sphingosine (d18:1/16:0),THRA,DEXTROTHYROXINE,4
bilirubin metabolism disease,"androstenediol (3beta,17beta) monosulfate (2) to x-21364",CYP3A7,RITONAVIR,4
bilirubin metabolism disease,"androstenediol (3beta,17beta) monosulfate (2) to x-21364",CYP3A7,RITONAVIR,4
bilirubin metabolism disease,"androstenediol (3beta,17beta) monosulfate (2) to x-21364",CYP3A7,RITONAVIR,4.0
bilirubin metabolism disease,"androstenediol (3beta,17beta) monosulfate (2) to x-21364",CYP3A7,COBICISTAT,4
bilirubin metabolism disease,"androstenediol (3beta,17beta) monosulfate (2) to x-21364",CYP3A7,COBICISTAT,4
bilirubin metabolism disease,"androstenediol (3beta,17beta) monosulfate (2) to x-21364",CYP3A7,COBICISTAT,4.0
body height,"5alpha-androstan-3beta,17beta-diol monosulfate (2) to glyco-beta-muricholate**",CYP3A5,RITONAVIR,4
body height,16a-hydroxy dhea 3-sulfate to epiandrosterone sulfate,CYP3A5,RITONAVIR,4
body height,"5alpha-androstan-3beta,17beta-diol monosulfate (2) to andro steroid monosulfate c19h28o6s (1)*",CYP3A5,RITONAVIR,4
body height,"5alpha-androstan-3beta,17beta-diol monosulfate (2) to 16a-hydroxy dhea 3-sulfate",CYP3A5,RITONAVIR,4
body height,"5alpha-androstan-3alpha,17beta-diol monosulfate (1) to andro steroid monosulfate c19h28o6s (1)*",CYP3A5,RITONAVIR,4
body height,16a-hydroxy dhea 3-sulfate to androsterone sulfate,CYP3A5,RITONAVIR,4
body height,"5alpha-androstan-3beta,17beta-diol monosulfate (2) to glyco-beta-muricholate**",CYP3A5,RITONAVIR,4
body height,16a-hydroxy dhea 3-sulfate to epiandrosterone sulfate,CYP3A5,RITONAVIR,4
body height,"5alpha-androstan-3beta,17beta-diol monosulfate (2) to andro steroid monosulfate c19h28o6s (1)*",CYP3A5,RITONAVIR,4
body height,"5alpha-androstan-3beta,17beta-diol monosulfate (2) to 16a-hydroxy dhea 3-sulfate",CYP3A5,RITONAVIR,4
body height,"5alpha-androstan-3alpha,17beta-diol monosulfate (1) to andro steroid monosulfate c19h28o6s (1)*",CYP3A5,RITONAVIR,4
body height,16a-hydroxy dhea 3-sulfate to androsterone sulfate,CYP3A5,RITONAVIR,4
body height,"5alpha-androstan-3beta,17beta-diol monosulfate (2) to glyco-beta-muricholate**",CYP3A5,RITONAVIR,4.0
body height,16a-hydroxy dhea 3-sulfate to epiandrosterone sulfate,CYP3A5,RITONAVIR,4.0
body height,"5alpha-androstan-3beta,17beta-diol monosulfate (2) to andro steroid monosulfate c19h28o6s (1)*",CYP3A5,RITONAVIR,4.0
body height,"5alpha-androstan-3beta,17beta-diol monosulfate (2) to 16a-hydroxy dhea 3-sulfate",CYP3A5,RITONAVIR,4.0
body height,"5alpha-androstan-3alpha,17beta-diol monosulfate (1) to andro steroid monosulfate c19h28o6s (1)*",CYP3A5,RITONAVIR,4.0
body height,16a-hydroxy dhea 3-sulfate to androsterone sulfate,CYP3A5,RITONAVIR,4.0
body height,"5alpha-androstan-3beta,17beta-diol monosulfate (2) to glyco-beta-muricholate**",CYP3A7,RITONAVIR,4
body height,"5alpha-androstan-3beta,17beta-diol disulfate to andro steroid monosulfate c19h28o6s (1)*",CYP3A7,RITONAVIR,4
body height,"5alpha-androstan-3alpha,17beta-diol monosulfate (1) to 16a-hydroxy dhea 3-sulfate",CYP3A7,RITONAVIR,4
body height,16a-hydroxy dhea 3-sulfate to epiandrosterone sulfate,CYP3A7,RITONAVIR,4
body height,"androstenediol (3beta,17beta) disulfate (1) to 16a-hydroxy dhea 3-sulfate",CYP3A7,RITONAVIR,4
body height,"androstenediol (3beta,17beta) monosulfate (1) to andro steroid monosulfate c19h28o6s (1)*",CYP3A7,RITONAVIR,4
body height,"tauro-beta-muricholate to 5alpha-androstan-3beta,17beta-diol monosulfate (2)",CYP3A7,RITONAVIR,4
body height,"tauro-beta-muricholate to androstenediol (3alpha, 17alpha) monosulfate (3)",CYP3A7,RITONAVIR,4
body height,"5alpha-androstan-3beta,17beta-diol disulfate to tauro-beta-muricholate",CYP3A7,RITONAVIR,4
body height,"5alpha-androstan-3beta,17beta-diol disulfate to 16a-hydroxy dhea 3-sulfate",CYP3A7,RITONAVIR,4
body height,"androstenediol (3beta,17beta) disulfate (1) to andro steroid monosulfate c19h28o6s (1)*",CYP3A7,RITONAVIR,4
body height,"5alpha-androstan-3beta,17beta-diol monosulfate (2) to andro steroid monosulfate c19h28o6s (1)*",CYP3A7,RITONAVIR,4
body height,"5alpha-androstan-3beta,17beta-diol monosulfate (2) to 16a-hydroxy dhea 3-sulfate",CYP3A7,RITONAVIR,4
body height,"androstenediol (3alpha, 17alpha) monosulfate (3) to andro steroid monosulfate c19h28o6s (1)*",CYP3A7,RITONAVIR,4
body height,"androstenediol (3alpha, 17alpha) monosulfate (3) to 16a-hydroxy dhea 3-sulfate",CYP3A7,RITONAVIR,4
body height,"5alpha-androstan-3alpha,17beta-diol monosulfate (1) to andro steroid monosulfate c19h28o6s (1)*",CYP3A7,RITONAVIR,4
body height,andro steroid monosulfate c19h28o6s (1)* to DHEAS,CYP3A7,RITONAVIR,4
body height,andro steroid monosulfate c19h28o6s (1)* to epiandrosterone sulfate,CYP3A7,RITONAVIR,4
body height,16a-hydroxy dhea 3-sulfate to DHEAS,CYP3A7,RITONAVIR,4
body height,16a-hydroxy dhea 3-sulfate to androsterone sulfate,CYP3A7,RITONAVIR,4
body height,"androstenediol (3beta,17beta) monosulfate (2) to andro steroid monosulfate c19h28o6s (1)*",CYP3A7,RITONAVIR,4
body height,"androstenediol (3beta,17beta) monosulfate (2) to 16a-hydroxy dhea 3-sulfate",CYP3A7,RITONAVIR,4
body height,"androstenediol (3beta,17beta) monosulfate (1) to 16a-hydroxy dhea 3-sulfate",CYP3A7,RITONAVIR,4
body height,"5alpha-androstan-3beta,17beta-diol monosulfate (2) to glyco-beta-muricholate**",CYP3A7,RITONAVIR,4
body height,"5alpha-androstan-3beta,17beta-diol disulfate to andro steroid monosulfate c19h28o6s (1)*",CYP3A7,RITONAVIR,4
body height,"5alpha-androstan-3alpha,17beta-diol monosulfate (1) to 16a-hydroxy dhea 3-sulfate",CYP3A7,RITONAVIR,4
body height,16a-hydroxy dhea 3-sulfate to epiandrosterone sulfate,CYP3A7,RITONAVIR,4
body height,"androstenediol (3beta,17beta) disulfate (1) to 16a-hydroxy dhea 3-sulfate",CYP3A7,RITONAVIR,4
body height,"androstenediol (3beta,17beta) monosulfate (1) to andro steroid monosulfate c19h28o6s (1)*",CYP3A7,RITONAVIR,4
body height,"tauro-beta-muricholate to 5alpha-androstan-3beta,17beta-diol monosulfate (2)",CYP3A7,RITONAVIR,4
body height,"tauro-beta-muricholate to androstenediol (3alpha, 17alpha) monosulfate (3)",CYP3A7,RITONAVIR,4
body height,"5alpha-androstan-3beta,17beta-diol disulfate to tauro-beta-muricholate",CYP3A7,RITONAVIR,4
body height,"5alpha-androstan-3beta,17beta-diol disulfate to 16a-hydroxy dhea 3-sulfate",CYP3A7,RITONAVIR,4
body height,"androstenediol (3beta,17beta) disulfate (1) to andro steroid monosulfate c19h28o6s (1)*",CYP3A7,RITONAVIR,4
body height,"5alpha-androstan-3beta,17beta-diol monosulfate (2) to andro steroid monosulfate c19h28o6s (1)*",CYP3A7,RITONAVIR,4
body height,"5alpha-androstan-3beta,17beta-diol monosulfate (2) to 16a-hydroxy dhea 3-sulfate",CYP3A7,RITONAVIR,4
body height,"androstenediol (3alpha, 17alpha) monosulfate (3) to andro steroid monosulfate c19h28o6s (1)*",CYP3A7,RITONAVIR,4
body height,"androstenediol (3alpha, 17alpha) monosulfate (3) to 16a-hydroxy dhea 3-sulfate",CYP3A7,RITONAVIR,4
body height,"5alpha-androstan-3alpha,17beta-diol monosulfate (1) to andro steroid monosulfate c19h28o6s (1)*",CYP3A7,RITONAVIR,4
body height,andro steroid monosulfate c19h28o6s (1)* to DHEAS,CYP3A7,RITONAVIR,4
body height,andro steroid monosulfate c19h28o6s (1)* to epiandrosterone sulfate,CYP3A7,RITONAVIR,4
body height,16a-hydroxy dhea 3-sulfate to DHEAS,CYP3A7,RITONAVIR,4
body height,16a-hydroxy dhea 3-sulfate to androsterone sulfate,CYP3A7,RITONAVIR,4
body height,"androstenediol (3beta,17beta) monosulfate (2) to andro steroid monosulfate c19h28o6s (1)*",CYP3A7,RITONAVIR,4
body height,"androstenediol (3beta,17beta) monosulfate (2) to 16a-hydroxy dhea 3-sulfate",CYP3A7,RITONAVIR,4
body height,"androstenediol (3beta,17beta) monosulfate (1) to 16a-hydroxy dhea 3-sulfate",CYP3A7,RITONAVIR,4
body height,"5alpha-androstan-3beta,17beta-diol monosulfate (2) to glyco-beta-muricholate**",CYP3A7,RITONAVIR,4.0
body height,"5alpha-androstan-3beta,17beta-diol disulfate to andro steroid monosulfate c19h28o6s (1)*",CYP3A7,RITONAVIR,4.0
body height,"5alpha-androstan-3alpha,17beta-diol monosulfate (1) to 16a-hydroxy dhea 3-sulfate",CYP3A7,RITONAVIR,4.0
body height,16a-hydroxy dhea 3-sulfate to epiandrosterone sulfate,CYP3A7,RITONAVIR,4.0
body height,"androstenediol (3beta,17beta) disulfate (1) to 16a-hydroxy dhea 3-sulfate",CYP3A7,RITONAVIR,4.0
body height,"androstenediol (3beta,17beta) monosulfate (1) to andro steroid monosulfate c19h28o6s (1)*",CYP3A7,RITONAVIR,4.0
body height,"tauro-beta-muricholate to 5alpha-androstan-3beta,17beta-diol monosulfate (2)",CYP3A7,RITONAVIR,4.0
body height,"tauro-beta-muricholate to androstenediol (3alpha, 17alpha) monosulfate (3)",CYP3A7,RITONAVIR,4.0
body height,"5alpha-androstan-3beta,17beta-diol disulfate to tauro-beta-muricholate",CYP3A7,RITONAVIR,4.0
body height,"5alpha-androstan-3beta,17beta-diol disulfate to 16a-hydroxy dhea 3-sulfate",CYP3A7,RITONAVIR,4.0
body height,"androstenediol (3beta,17beta) disulfate (1) to andro steroid monosulfate c19h28o6s (1)*",CYP3A7,RITONAVIR,4.0
body height,"5alpha-androstan-3beta,17beta-diol monosulfate (2) to andro steroid monosulfate c19h28o6s (1)*",CYP3A7,RITONAVIR,4.0
body height,"5alpha-androstan-3beta,17beta-diol monosulfate (2) to 16a-hydroxy dhea 3-sulfate",CYP3A7,RITONAVIR,4.0
body height,"androstenediol (3alpha, 17alpha) monosulfate (3) to andro steroid monosulfate c19h28o6s (1)*",CYP3A7,RITONAVIR,4.0
body height,"androstenediol (3alpha, 17alpha) monosulfate (3) to 16a-hydroxy dhea 3-sulfate",CYP3A7,RITONAVIR,4.0
body height,"5alpha-androstan-3alpha,17beta-diol monosulfate (1) to andro steroid monosulfate c19h28o6s (1)*",CYP3A7,RITONAVIR,4.0
body height,andro steroid monosulfate c19h28o6s (1)* to DHEAS,CYP3A7,RITONAVIR,4.0
body height,andro steroid monosulfate c19h28o6s (1)* to epiandrosterone sulfate,CYP3A7,RITONAVIR,4.0
body height,16a-hydroxy dhea 3-sulfate to DHEAS,CYP3A7,RITONAVIR,4.0
body height,16a-hydroxy dhea 3-sulfate to androsterone sulfate,CYP3A7,RITONAVIR,4.0
body height,"androstenediol (3beta,17beta) monosulfate (2) to andro steroid monosulfate c19h28o6s (1)*",CYP3A7,RITONAVIR,4.0
body height,"androstenediol (3beta,17beta) monosulfate (2) to 16a-hydroxy dhea 3-sulfate",CYP3A7,RITONAVIR,4.0
body height,"androstenediol (3beta,17beta) monosulfate (1) to 16a-hydroxy dhea 3-sulfate",CYP3A7,RITONAVIR,4.0
body height,"5alpha-androstan-3beta,17beta-diol monosulfate (2) to glyco-beta-muricholate**",CYP3A5,COBICISTAT,4
body height,16a-hydroxy dhea 3-sulfate to epiandrosterone sulfate,CYP3A5,COBICISTAT,4
body height,"5alpha-androstan-3beta,17beta-diol monosulfate (2) to andro steroid monosulfate c19h28o6s (1)*",CYP3A5,COBICISTAT,4
body height,"5alpha-androstan-3beta,17beta-diol monosulfate (2) to 16a-hydroxy dhea 3-sulfate",CYP3A5,COBICISTAT,4
body height,"5alpha-androstan-3alpha,17beta-diol monosulfate (1) to andro steroid monosulfate c19h28o6s (1)*",CYP3A5,COBICISTAT,4
body height,16a-hydroxy dhea 3-sulfate to androsterone sulfate,CYP3A5,COBICISTAT,4
body height,"5alpha-androstan-3beta,17beta-diol monosulfate (2) to glyco-beta-muricholate**",CYP3A5,COBICISTAT,4
body height,16a-hydroxy dhea 3-sulfate to epiandrosterone sulfate,CYP3A5,COBICISTAT,4
body height,"5alpha-androstan-3beta,17beta-diol monosulfate (2) to andro steroid monosulfate c19h28o6s (1)*",CYP3A5,COBICISTAT,4
body height,"5alpha-androstan-3beta,17beta-diol monosulfate (2) to 16a-hydroxy dhea 3-sulfate",CYP3A5,COBICISTAT,4
body height,"5alpha-androstan-3alpha,17beta-diol monosulfate (1) to andro steroid monosulfate c19h28o6s (1)*",CYP3A5,COBICISTAT,4
body height,16a-hydroxy dhea 3-sulfate to androsterone sulfate,CYP3A5,COBICISTAT,4
body height,"5alpha-androstan-3beta,17beta-diol monosulfate (2) to glyco-beta-muricholate**",CYP3A5,COBICISTAT,4.0
body height,16a-hydroxy dhea 3-sulfate to epiandrosterone sulfate,CYP3A5,COBICISTAT,4.0
body height,"5alpha-androstan-3beta,17beta-diol monosulfate (2) to andro steroid monosulfate c19h28o6s (1)*",CYP3A5,COBICISTAT,4.0
body height,"5alpha-androstan-3beta,17beta-diol monosulfate (2) to 16a-hydroxy dhea 3-sulfate",CYP3A5,COBICISTAT,4.0
body height,"5alpha-androstan-3alpha,17beta-diol monosulfate (1) to andro steroid monosulfate c19h28o6s (1)*",CYP3A5,COBICISTAT,4.0
body height,16a-hydroxy dhea 3-sulfate to androsterone sulfate,CYP3A5,COBICISTAT,4.0
body height,"5alpha-androstan-3beta,17beta-diol monosulfate (2) to glyco-beta-muricholate**",CYP3A7,COBICISTAT,4
body height,"5alpha-androstan-3beta,17beta-diol disulfate to andro steroid monosulfate c19h28o6s (1)*",CYP3A7,COBICISTAT,4
body height,"5alpha-androstan-3alpha,17beta-diol monosulfate (1) to 16a-hydroxy dhea 3-sulfate",CYP3A7,COBICISTAT,4
body height,16a-hydroxy dhea 3-sulfate to epiandrosterone sulfate,CYP3A7,COBICISTAT,4
body height,"androstenediol (3beta,17beta) disulfate (1) to 16a-hydroxy dhea 3-sulfate",CYP3A7,COBICISTAT,4
body height,"androstenediol (3beta,17beta) monosulfate (1) to andro steroid monosulfate c19h28o6s (1)*",CYP3A7,COBICISTAT,4
body height,"tauro-beta-muricholate to 5alpha-androstan-3beta,17beta-diol monosulfate (2)",CYP3A7,COBICISTAT,4
body height,"tauro-beta-muricholate to androstenediol (3alpha, 17alpha) monosulfate (3)",CYP3A7,COBICISTAT,4
body height,"5alpha-androstan-3beta,17beta-diol disulfate to tauro-beta-muricholate",CYP3A7,COBICISTAT,4
body height,"5alpha-androstan-3beta,17beta-diol disulfate to 16a-hydroxy dhea 3-sulfate",CYP3A7,COBICISTAT,4
body height,"androstenediol (3beta,17beta) disulfate (1) to andro steroid monosulfate c19h28o6s (1)*",CYP3A7,COBICISTAT,4
body height,"5alpha-androstan-3beta,17beta-diol monosulfate (2) to andro steroid monosulfate c19h28o6s (1)*",CYP3A7,COBICISTAT,4
body height,"5alpha-androstan-3beta,17beta-diol monosulfate (2) to 16a-hydroxy dhea 3-sulfate",CYP3A7,COBICISTAT,4
body height,"androstenediol (3alpha, 17alpha) monosulfate (3) to andro steroid monosulfate c19h28o6s (1)*",CYP3A7,COBICISTAT,4
body height,"androstenediol (3alpha, 17alpha) monosulfate (3) to 16a-hydroxy dhea 3-sulfate",CYP3A7,COBICISTAT,4
body height,"5alpha-androstan-3alpha,17beta-diol monosulfate (1) to andro steroid monosulfate c19h28o6s (1)*",CYP3A7,COBICISTAT,4
body height,andro steroid monosulfate c19h28o6s (1)* to DHEAS,CYP3A7,COBICISTAT,4
body height,andro steroid monosulfate c19h28o6s (1)* to epiandrosterone sulfate,CYP3A7,COBICISTAT,4
body height,16a-hydroxy dhea 3-sulfate to DHEAS,CYP3A7,COBICISTAT,4
body height,16a-hydroxy dhea 3-sulfate to androsterone sulfate,CYP3A7,COBICISTAT,4
body height,"androstenediol (3beta,17beta) monosulfate (2) to andro steroid monosulfate c19h28o6s (1)*",CYP3A7,COBICISTAT,4
body height,"androstenediol (3beta,17beta) monosulfate (2) to 16a-hydroxy dhea 3-sulfate",CYP3A7,COBICISTAT,4
body height,"androstenediol (3beta,17beta) monosulfate (1) to 16a-hydroxy dhea 3-sulfate",CYP3A7,COBICISTAT,4
body height,"5alpha-androstan-3beta,17beta-diol monosulfate (2) to glyco-beta-muricholate**",CYP3A7,COBICISTAT,4
body height,"5alpha-androstan-3beta,17beta-diol disulfate to andro steroid monosulfate c19h28o6s (1)*",CYP3A7,COBICISTAT,4
body height,"5alpha-androstan-3alpha,17beta-diol monosulfate (1) to 16a-hydroxy dhea 3-sulfate",CYP3A7,COBICISTAT,4
body height,16a-hydroxy dhea 3-sulfate to epiandrosterone sulfate,CYP3A7,COBICISTAT,4
body height,"androstenediol (3beta,17beta) disulfate (1) to 16a-hydroxy dhea 3-sulfate",CYP3A7,COBICISTAT,4
body height,"androstenediol (3beta,17beta) monosulfate (1) to andro steroid monosulfate c19h28o6s (1)*",CYP3A7,COBICISTAT,4
body height,"tauro-beta-muricholate to 5alpha-androstan-3beta,17beta-diol monosulfate (2)",CYP3A7,COBICISTAT,4
body height,"tauro-beta-muricholate to androstenediol (3alpha, 17alpha) monosulfate (3)",CYP3A7,COBICISTAT,4
